delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,emotion
108.01560013849547,45.585089656948895,35.336995615300154,122.03730895803287,0.28955895469189763,0.37353404500770376,0.8851030972474222,1.2900103379816348,3.0567284585938896,1.0245676942135749,0
131.15769699175758,54.82080695503389,40.51560791432373,141.3272102370235,0.2866794571715805,0.3878998733725268,0.9280427793896846,1.3530787214389235,3.237214094605467,0.9777625601471261,0
146.04014861453453,61.52669772007564,44.4608247382542,156.62593940692594,0.2838662925605295,0.3928257219273537,0.932413552745636,1.3838406750727212,3.2846927486003477,0.9687807455580659,0
150.32401839719395,65.3032179632081,47.64191656608653,168.30608746952305,0.28306710281476627,0.38800270949815313,0.8931585342949327,1.3707092969826828,3.1552890654319468,1.0014876027751496,0
144.4556639880863,66.09473988842058,50.492971443221116,177.07407901375188,0.28515168185231526,0.37326039054698423,0.8157922649811868,1.3089889146798086,2.8609063768513874,1.0808198239811824,0
131.01800291170935,63.84097169699833,52.870918725993874,183.64083775265624,0.28790392906617596,0.3476403858655067,0.7134469898693013,1.2074874663679913,2.47807312732197,1.2137586013350656,0
114.05758783753727,59.499901467819214,54.43686868168246,189.42009323867984,0.28738698071006114,0.31411610273491963,0.6021409127584917,1.093007421417691,2.095226830633568,1.405050066674571,0
97.09494551112671,55.25379550436927,55.20712847189072,195.5570948519129,0.2823069575343034,0.2825455938901661,0.49650433590585197,1.0008453080928184,1.758739282383861,1.6459881562020744,0
82.93630690439535,51.71607312395527,55.41429209977789,200.8946132717739,0.2758376205180396,0.2574288692051331,0.4128348966340755,0.9332623618260127,1.496659142646122,1.903485889499961,0
75.6582813472348,50.5380848081496,55.84519236132724,203.72271089214098,0.27412354821301166,0.24807290550392538,0.3713787285468204,0.9049675123537974,1.3547859385587526,2.0568571913858813,0
79.74188147998058,52.517818280899135,58.28991286151856,203.40233658282315,0.28657445062231895,0.2581967304958391,0.3920401447675139,0.9009760986547982,1.3680219709613606,1.9786242515102554,0
89.11313939033276,57.34515708428035,60.9339731260298,200.50829434920135,0.3038975186727606,0.2859989272284624,0.44443617497007404,0.9411031997810697,1.4624541092375507,1.7850970123809213,0
97.41520218936522,63.674404082179414,64.1353662750277,195.25056531729066,0.3284772372915026,0.32611636221747037,0.49892404680652924,0.9928126676493656,1.5188999119709656,1.6101965706904648,0
102.04509691710099,69.70655729425019,67.51618725202066,190.0394835869216,0.35527452494438944,0.36680039315286456,0.5369678710499489,1.0324421465633633,1.511416759009106,1.4995818935286866,0
102.35716872126007,73.18703711155817,69.39689982472957,188.77250591727716,0.36762186043734724,0.38769966397346967,0.5422249825200417,1.0546153689343625,1.4749530451616097,1.47068030253233,0
97.83738610158358,73.31324842923819,69.01449753851959,189.70000357733147,0.36380862539301817,0.3864694098403216,0.5157479402033855,1.0622876503349068,1.417635273617356,1.511618708426467,0
91.02062273869521,70.31098129581119,66.30206782970535,192.0294997768409,0.3452702210168518,0.3661467710821523,0.4739929169449019,1.0604643806344412,1.3728172546967712,1.6012458882593956,0
85.91778700380613,64.8254517284456,62.38856573361148,193.9409241856837,0.3216885038346995,0.3342535981027921,0.44301009374146516,1.0390598175511714,1.3771399613618367,1.7004377249356073,0
86.76702806481579,59.066861972690845,57.93568913139051,193.4968316287012,0.2994141487678859,0.3052600989665482,0.4484157561365761,1.019524629088902,1.4976438420891067,1.724102132195928,0
96.70862214777597,57.13071526944915,53.362761856569556,192.4304069646879,0.2773094060252231,0.29689026890606207,0.5025641408403951,1.0706101648750348,1.812286673012035,1.5977263874625636,0
118.45224754319331,58.139652923296715,51.20557438961229,190.3722696364561,0.26897601466535476,0.3053997992161513,0.622213769733351,1.1354164779194644,2.313268603178151,1.3680007032480523,0
147.20005038901107,62.15640078955543,50.11233965683543,187.11498983863387,0.26781574100531347,0.33218290444372467,0.7866822990288215,1.2403412256381678,2.93740127475634,1.1331264365631173,0
175.46233914725804,69.96609980177818,51.445669195959695,184.18493715836743,0.27931529032542574,0.3798687388948606,0.952642175056859,1.3599997996969004,3.410633817958734,0.9600786582163626,0
199.09958909119558,79.6091099773206,54.87387510819218,183.21630923182641,0.29950322292956694,0.4345088617443438,1.0866914082374173,1.450765228815336,3.6283129029732364,0.8542617619606048,0
217.216859194383,87.94260310774219,58.94582403691379,183.36297217810602,0.3214707055449446,0.47960938930636915,1.1846277174401039,1.4919225330138683,3.685025406691316,0.7940399238714098,0
226.45032003966557,92.7969059178338,61.80221101623416,183.72205996820912,0.33638971295514697,0.505093976923028,1.232570112042343,1.5015143373019126,3.6641135699850893,0.7690725275624771,0
224.12850056103682,93.49505916095706,62.03697471138141,184.71945440177944,0.33584429378210523,0.5061462500728152,1.2133454014731961,1.5070860498264156,3.6128212506132704,0.7768832681339483,0
211.18910327290385,89.71164792216457,60.772582426575596,185.9196165943506,0.3268755795638955,0.48252922185130287,1.1359161940059697,1.4761862066755624,3.4750720611232695,0.8198457399695893,0
186.70843481084273,82.53699452073322,58.02868728808248,186.9802247156957,0.31034665498084285,0.44142098259979684,0.9985464243330212,1.4223481243161618,3.217519532777499,0.9099835514832435,0
153.40635276410987,73.32367270980704,54.19740688311358,189.50835848326142,0.2859895326880827,0.3869152437214713,0.8094964992146227,1.3529000173005081,2.830510933760321,1.0748720415700346,0
117.15304382597559,63.555305297130886,50.53077962766637,191.9078292943956,0.2633075461978666,0.33117619813016624,0.6104651605758998,1.2577542987746302,2.3184491648300734,1.3416015922811741,0
