delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,emotion
149.73965665094988,65.0925270417168,56.22556936686362,216.56000150576887,0.2596304441074999,0.3005750211909877,0.691446507248759,1.1577032971777945,2.663195025628296,1.2697611977117562,1
183.71333945010514,80.05204473810694,62.725194536595616,242.18562918101668,0.2589963522968283,0.3305400283609466,0.75856416448555,1.276234299941507,2.928860417370594,1.1559925676222946,1
208.19504633421045,91.16508022398052,66.37419145637155,255.2879799372853,0.2599973233078863,0.35710682597111065,0.8155301569049831,1.373501932357312,3.136686741729415,1.0744990493285707,1
220.29081364782712,96.23307956807392,66.66000400489933,255.83417793256473,0.2605594160388931,0.37615411805313975,0.8610687415889112,1.4436404708436716,3.3046924754405405,1.018862047540565,1
216.77631238134984,94.38007616672388,64.07854484998047,245.19388741364634,0.26133826387718573,0.3849201836239215,0.8841016171648866,1.4728810772417633,3.3829780761854473,0.9939453073959436,1
198.6136706002342,86.90399718553292,59.5062840230603,226.66672744452748,0.26252765323760796,0.38339988477930037,0.8762365471078734,1.4604171410174975,3.3376923775523606,1.0022952824142302,1
170.19121430803432,76.14059649110324,54.39127374637248,204.11393016791095,0.2664750695928906,0.3730298879085197,0.8338049939464167,1.3998678693598583,3.129016891599912,1.0494186807446977,1
138.14317145732838,64.10153435564291,50.570002486673374,180.2690153871053,0.28052520494484634,0.35558819810488695,0.7663167802890757,1.267580209681332,2.7317216662928385,1.1413847247366287,1
109.76912059234044,54.53490252606195,47.648307926000136,158.14832832009816,0.3012887232646441,0.34483388541218885,0.6940896673290382,1.1445296779637377,2.303735963988828,1.2525355882356886,1
89.65668997441543,47.998949158444034,45.37295215843596,137.79109772940402,0.32928797945669874,0.3483457926484119,0.6506711351591409,1.0578758241438306,1.9759941927813491,1.330596051434244,1
76.74402794458905,44.3075165304171,44.34541339999468,121.9188425925172,0.3637289565502847,0.3634181196954414,0.6294681471106685,0.9991454162522794,1.7305967418176837,1.3734996667212365,1
68.23715265051081,41.28388892627943,44.12182109463323,112.92884926035491,0.39070460191187617,0.3655743346069201,0.6042490745052365,0.9356796229632734,1.5465624708498455,1.4339771435142232,1
60.68610618317087,38.53198542385876,44.767433341179824,112.28491585708488,0.3986949894334816,0.34316261565268374,0.5404653485283057,0.8607146433926709,1.3555860064764553,1.5829003224562879,1
55.55169725679077,36.21457487285717,45.48561300122702,113.4634821254858,0.4008832811152567,0.31917383632564167,0.48959979207541815,0.7961764717094226,1.2213025963900321,1.7321080113415588,1
