delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,emotion
122.4454219315864,84.98085144624608,60.449325727557905,172.15151883577846,0.3511402405065197,0.49363985877645594,0.7112654175789845,1.4058196749662772,2.0255878863470174,1.1213663571906713,2
139.8750207213241,102.66852096747088,72.07588440549398,197.05143241106083,0.3657719384406172,0.5210239768940037,0.7098401620828445,1.4244503805165238,1.940663258939659,1.1096041351695491,2
152.99819296389475,118.04486187681184,82.48054634667461,212.81590873507022,0.3875675781802234,0.554680627864918,0.71892272468389,1.43118428654263,1.8549609543179657,1.0894817255335767,2
161.0884778235759,130.20666377519623,90.46596437838808,219.87627339528922,0.4114403204194304,0.5921815108313814,0.732632381548391,1.4392889598853602,1.7806528558055057,1.0653876205087571,2
163.11037060446182,135.6760369520819,93.8000132082979,220.3716002452515,0.4256447432605104,0.6156693367071259,0.7401605761492693,1.4464394226767494,1.7389162861016791,1.0514923219661327,2
161.46175169739763,134.6949992509974,92.0167470858301,217.12165287622818,0.42380272011969683,0.6203664971534704,0.7436464744925284,1.4638096163664476,1.754699626001684,1.0438337095882217,2
154.88607096009503,129.3495150839997,86.53773720741228,214.76575249411957,0.4029401159283147,0.6022818516538915,0.7211860790715965,1.4947180184984135,1.7898095785526094,1.0600484404327517,2
145.50947207822387,121.84976594450029,80.43152936686185,214.12165739777618,0.37563472254207014,0.5690679187959891,0.6795644767867143,1.5149502552503116,1.809109850622515,1.1017131442437853,2
136.3637855526119,114.63689412157528,78.56306382171114,217.42404468608336,0.3613356744197286,0.5272503061337486,0.6271789569065086,1.4591703600273165,1.7357238747978583,1.1792283148077616,2
136.70794702573815,110.52746353983711,82.45393980941282,221.79235058549165,0.3717618736252596,0.4983375812919815,0.6163780971925042,1.3404752252629106,1.6579916901694463,1.2305935047852217,2
145.60201876785888,113.11970462865906,86.652691906908,224.7896593495144,0.38548344331166934,0.5032246810462699,0.6477256079714478,1.3054378593360363,1.6802942362630906,1.203773487466704,2
160.31471103665612,118.22103626936817,87.90173743283384,227.6429996078463,0.386138548447611,0.5193264737902065,0.7042373862267912,1.3449226343188205,1.823794565598358,1.1328698025032833,2
178.0603239280798,122.71648448775807,85.87796137123395,229.94339002378328,0.37347436411349555,0.5336812877076631,0.7743659163660362,1.4289636424562786,2.073411164924598,1.050018959435129,2
191.98395589195422,124.56169853296778,81.462392999775,230.67299785665256,0.35315097023362174,0.5399925422149945,0.8322775429972913,1.5290699664728953,2.3567188345729604,0.9860675276793588,2
198.8792134645763,121.70652582158606,74.96706745732439,229.15089256058403,0.32715154027822185,0.5311195800357125,0.8678963072858015,1.6234665427038144,2.6528877307064187,0.9486322151917231,2
195.54017585356272,114.34497591415618,67.86159731657013,225.7716398245611,0.30057626976223806,0.5064629729535981,0.8660971590830001,1.684973246072355,2.8814555446047043,0.947555039233472,2
180.90947797778256,102.91974923411115,61.369910948260966,219.26888434228016,0.279884266900643,0.469376900159955,0.8250576844062456,1.6770392468204742,2.9478530306211725,0.9887593256244511,2
157.04319215416106,89.67382022024098,56.60641283199383,208.48632166642113,0.27151139882722997,0.4301184821310216,0.7532541746572263,1.584163626237724,2.7743003715897108,1.0744809688929238,2
130.0444884398074,77.33547709951765,54.27773209261484,197.11804587170485,0.27535648424569786,0.392330782082995,0.6597289855665849,1.424810398628282,2.395908661362466,1.2122471778338106,2
109.18747295217503,73.00010479484376,55.12577872094235,187.34468680693777,0.29424788960121673,0.3896566592789031,0.5828159571170266,1.3242462326815339,1.9806971526861095,1.3308836339246393,2
104.62797953273233,77.71976323500311,57.961370834256805,182.81038756113082,0.31705731609411325,0.4251386601815175,0.5723306040131078,1.3408889768540213,1.8051329364158903,1.3203988968597735,2
118.27486337986274,84.51000750034558,62.23558500656234,183.3577218668808,0.33942167459817085,0.46090236418677,0.6450498085143709,1.3579049267623104,1.900437882401064,1.2111027110031458,2
133.95251222975782,91.30890396492718,68.38380616792078,185.16323526158106,0.36931632821879906,0.49312653149495156,0.7234293138188173,1.335241617594557,1.958833819527812,1.1255679987840024,2
148.20888921065307,100.65210887265319,74.93028582552262,188.11834111430807,0.3983146214328567,0.5350467598026128,0.7878492247632332,1.343276724007494,1.9779570780733686,1.057010254583063,2
166.178472523728,113.95598593843391,81.11765252422866,192.16402106248097,0.42212716030673475,0.593014162111969,0.8647741216327696,1.404823517352119,2.0486104732147288,0.9755375154021694,2
195.52314333912128,130.36038505245844,86.41672962464163,199.22140832853108,0.43377230564565605,0.6543492797595546,0.9814364077614034,1.5085086605185105,2.2625612446616827,0.8765037599873768,2
232.9254486724943,147.24108247139677,90.39752371501714,207.0456835727357,0.4366066568263436,0.7111526303308351,1.1249954341147468,1.628817653629339,2.576679527271165,0.7824024024228796,2
268.6968209787151,162.63379297872194,94.18293952332587,212.9147896018613,0.44235038674130006,0.763844509265129,1.2619922809550388,1.7267861228566046,2.852924556598365,0.7119775856102136,2
295.75988210991176,171.87258098656272,97.85273850207444,215.73190486959123,0.4535849185646689,0.796695236573648,1.3709603235956083,1.756441195387895,3.0224997954823896,0.6705792863378945,2
308.54278445681473,173.5398152429816,100.06237436520085,215.9105463103676,0.4634436625497809,0.8037579368333456,1.4290306320344812,1.7343163835949742,3.0835045281927473,0.655433157870315,2
301.60532776314716,167.93664126884153,100.3956631829954,212.22378665518377,0.4730650826908292,0.7913186543113616,1.421166460728497,1.67274796484721,3.0041668952711476,0.6657966070267964,2
